Date,PL Account,Amount,Description,Counterparty
2024-02-06,"Marketing and sales:Content creation (newsletters, blog, social media)",3516.47,Transaction 3734,Counterparty 3734
2023-11-09,Consulting,-2488.56,Transaction 3735,Counterparty 3735
2023-05-24,Receiving & Repayment of loans,902.3,Transaction 3736,Counterparty 3736
2024-06-18,Marketing and sales,-2942.88,Transaction 3737,Counterparty 3737
2023-06-22,Accounts Payable (A/P),-2687.4,Transaction 3738,Counterparty 3738
2023-06-18,Current portion of long-term debt,-4940.73,Transaction 3739,Counterparty 3739
2023-01-23,Professional services:Legal consultancy,2041.64,Transaction 3740,Counterparty 3740
2023-01-28,Marketing and sales:Advertising,1900.97,Transaction 3741,Counterparty 3741
2023-07-13,Income,758.59,Transaction 3742,Counterparty 3742
2023-10-16,Interest Income,1134.04,Transaction 3743,Counterparty 3743
2024-06-02,Accounts Payable (A/P),-3940.76,Transaction 3744,Counterparty 3744
2024-01-19,Dividends payable,3257.2,Transaction 3745,Counterparty 3745
2023-05-23,Marketing and sales:Sales software & other services,-3607.53,Transaction 3746,Counterparty 3746
2023-01-15,Opening Balance Equity,-4976.46,Transaction 3747,Counterparty 3747
2023-08-17,Prepaid expenses for projects,-528.2,Transaction 3748,Counterparty 3748
2023-06-04,Purchase & Sales of property and equipment,2575.62,Transaction 3749,Counterparty 3749
2024-06-16,Interest Expenses,-1305.78,Transaction 3750,Counterparty 3750
2023-03-11,Purchase & Sales of property and equipment,-441.27,Transaction 3751,Counterparty 3751
2023-09-20,Marketing and sales:Marketing team salary,-4728.75,Transaction 3752,Counterparty 3752
2023-11-19,R&D expenses:R&D team salary,1751.97,Transaction 3753,Counterparty 3753
2023-04-13,Mercury CHE *6028,-35.15,Transaction 3754,Counterparty 3754
2023-02-12,Short-term debit,-3357.53,Transaction 3755,Counterparty 3755
2024-01-08,Other income,-73.73,Transaction 3756,Counterparty 3756
2024-02-19,Marketing and sales:Advertising,-1889.9,Transaction 3757,Counterparty 3757
2023-07-24,Other Expenses,-2560.84,Transaction 3758,Counterparty 3758
2023-08-25,Marketing and sales:Sales software & other services,-1502.57,Transaction 3759,Counterparty 3759
2023-11-28,Interest Payable,-288.25,Transaction 3760,Counterparty 3760
2024-05-03,Current portion of long-term debt,3253.92,Transaction 3761,Counterparty 3761
2023-05-03,Dividend disbursed,-1657.28,Transaction 3762,Counterparty 3762
2023-08-31,Office expenses,-115.43,Transaction 3763,Counterparty 3763
2023-01-01,Cost of sales,1295.26,Transaction 3764,Counterparty 3764
2024-01-12,G&A expenses:Salary G&A Tax Expenses,-4168.98,Transaction 3765,Counterparty 3765
2024-05-07,Other Expenses:Other general and administrative expenses,-2231.72,Transaction 3766,Counterparty 3766
2023-12-07,Project's direct cost:Subcontractors,1862.32,Transaction 3767,Counterparty 3767
2023-10-24,Stripe Other fees,-2114.46,Transaction 3768,Counterparty 3768
2023-04-11,Project's direct cost:Software expenses,-1760.28,Transaction 3769,Counterparty 3769
2024-05-02,Professional services:Financial consultancy,-788.98,Transaction 3770,Counterparty 3770
2023-03-21,Staff expenses:Operational software,-4635.8,Transaction 3771,Counterparty 3771
2024-02-02,Stripe sales,1630.81,Transaction 3772,Counterparty 3772
2023-08-08,Common stock,-3684.23,Transaction 3773,Counterparty 3773
2024-02-06,Grants and other financial income,3215.74,Transaction 3774,Counterparty 3774
2023-02-27,Uncategorised Income,154.61,Transaction 3775,Counterparty 3775
2023-08-14,Office expenses:Other office expenses,-1077.09,Transaction 3776,Counterparty 3776
2023-12-26,Prepaid expenses administrative,1413.17,Transaction 3777,Counterparty 3777
2024-03-12,Bookkeeping (reporting),2568.88,Transaction 3778,Counterparty 3778
2023-08-21,Dividends payable,-3124.18,Transaction 3779,Counterparty 3779
2024-02-06,Common stock,4213.09,Transaction 3780,Counterparty 3780
2023-11-05,Comissions and fees from sales:Stripe fee,2338.29,Transaction 3781,Counterparty 3781
2023-12-13,Share capital,4696.79,Transaction 3782,Counterparty 3782
2024-05-09,Exchange Loss,1029.81,Transaction 3783,Counterparty 3783
2023-09-09,Share capital,874.59,Transaction 3784,Counterparty 3784
2023-07-13,Other Expenses:Social Tax,-3176.96,Transaction 3785,Counterparty 3785
2023-02-10,Less:Discount,-466.37,Transaction 3786,Counterparty 3786
2023-07-09,Custom subscription,-3589.63,Transaction 3787,Counterparty 3787
2024-05-03,Travelling expenses,-1922.78,Transaction 3788,Counterparty 3788
2023-09-03,Donation,-4963.61,Transaction 3789,Counterparty 3789
2024-04-19,Dividend disbursed,989.26,Transaction 3790,Counterparty 3790
2023-06-06,Stripe fees,-735.28,Transaction 3791,Counterparty 3791
2023-03-24,Financial Modeling,-222.55,Transaction 3792,Counterparty 3792
2023-03-19,R&D expenses:R&D software & other services,519.47,Transaction 3793,Counterparty 3793
2023-03-10,Essential subscription,-2093.15,Transaction 3794,Counterparty 3794
2023-11-21,Uncategorised Expense,4809.42,Transaction 3795,Counterparty 3795
2023-07-03,Amortisation / Depreciation:Amortisation,746.97,Transaction 3796,Counterparty 3796
2023-10-19,Marketing and sales:Sales team salary,-4459.3,Transaction 3797,Counterparty 3797
2024-03-23,Professional services:Professional services,-1629.01,Transaction 3798,Counterparty 3798
2023-06-21,Essential subscription,-3727.7,Transaction 3799,Counterparty 3799
2024-01-14,Grants and other financial income,209.37,Transaction 3800,Counterparty 3800
2023-03-23,Long-term debt,3925.02,Transaction 3801,Counterparty 3801
2023-02-08,Marketing and sales:Sales software & other services,609.69,Transaction 3802,Counterparty 3802
2023-01-20,Professional services:Bookkeeping,3517.1,Transaction 3803,Counterparty 3803
2023-11-29,Bookkeeping subscription,3576.07,Transaction 3804,Counterparty 3804
2024-05-13,Custom subscription,3395.24,Transaction 3805,Counterparty 3805
2023-04-19,Consulting,-2180.55,Transaction 3806,Counterparty 3806
2024-06-03,Staff expenses:Recruitment expenses,-1879.78,Transaction 3807,Counterparty 3807
2024-04-08,Grants and other financial income,-412.8,Transaction 3808,Counterparty 3808
2024-04-21,Undeposited Funds,1805.3,Transaction 3809,Counterparty 3809
2023-08-21,Receiving & Repayment of loans,-2046.51,Transaction 3810,Counterparty 3810
2024-01-14,Cost of sales,-4173.22,Transaction 3811,Counterparty 3811
2023-01-08,Marketing and sales:M&S team salary tax expenses,3573.69,Transaction 3812,Counterparty 3812
2023-08-08,Long-Term Investments,-4002.64,Transaction 3813,Counterparty 3813
2023-01-30,Marketing and sales:Website improvements,-31.53,Transaction 3814,Counterparty 3814
2023-02-15,Other Expenses:Social Tax,-2283.07,Transaction 3815,Counterparty 3815
2023-08-02,Marketing and sales:Marketing team salary,-130.94,Transaction 3816,Counterparty 3816
2023-07-01,Other comprehensive income,1278.92,Transaction 3817,Counterparty 3817
2023-09-27,Interest Payable,-246.25,Transaction 3818,Counterparty 3818
2023-12-27,G&A expenses:Salary G&A,3050.96,Transaction 3819,Counterparty 3819
2024-04-02,Intangible assets,1398.56,Transaction 3820,Counterparty 3820
2024-03-11,Financial Modeling,-2542.08,Transaction 3821,Counterparty 3821
2023-09-05,Office expenses,2157.88,Transaction 3822,Counterparty 3822
2023-12-19,Grants and other financial income,4419.3,Transaction 3823,Counterparty 3823
2024-06-09,Inventory Asset,-2926.87,Transaction 3824,Counterparty 3824
2024-01-31,Direct labour,3664.91,Transaction 3825,Counterparty 3825
2023-09-01,Inventory,4649.26,Transaction 3826,Counterparty 3826
2024-05-06,Other Expenses:Other general and administrative expenses,4928.59,Transaction 3827,Counterparty 3827
2024-04-29,Other Expenses:Other general and administrative expenses,-4455.53,Transaction 3828,Counterparty 3828
2023-09-14,Professional services:Financial & legal software,833.13,Transaction 3829,Counterparty 3829
2024-01-23,Interest Payable,4248.87,Transaction 3830,Counterparty 3830
2024-05-08,Prepaid Income,-2362.22,Transaction 3831,Counterparty 3831
2023-05-18,Direct labour:Project team salary,1856.39,Transaction 3832,Counterparty 3832
2024-02-25,Accrued holiday payable,-3108.22,Transaction 3833,Counterparty 3833
2023-01-24,Interest Income,-48.32,Transaction 3834,Counterparty 3834
2024-02-01,Project's direct cost,-4947.83,Transaction 3835,Counterparty 3835
2023-09-20,Direct labour:Project team salary,-1751.91,Transaction 3836,Counterparty 3836
2023-11-17,Staff expenses:Other staff expenses,-1582.93,Transaction 3837,Counterparty 3837
2023-06-22,Professional services:Professional services,-3562.78,Transaction 3838,Counterparty 3838
2023-09-23,Undeposited Funds,1259.92,Transaction 3839,Counterparty 3839
2024-01-28,Long-Term Investments,3080.25,Transaction 3840,Counterparty 3840
2023-11-05,Exchange Gain,-567.0,Transaction 3841,Counterparty 3841
2024-02-06,Purchase & Sales of intangible assets,3513.04,Transaction 3842,Counterparty 3842
2024-02-15,Taxes:Federal Taxes,-625.5,Transaction 3843,Counterparty 3843
2023-10-27,Short-Term Investments,4439.61,Transaction 3844,Counterparty 3844
2023-04-07,Common stock,-394.4,Transaction 3845,Counterparty 3845
2023-10-02,Equity in earnings of subsidiaries,2279.28,Transaction 3846,Counterparty 3846
2023-10-17,G&A expenses:Salary G&A Tax Expenses,-4014.1,Transaction 3847,Counterparty 3847
2024-01-22,Staff expenses,-2289.93,Transaction 3848,Counterparty 3848
2023-12-29,CHASE CHE *8731,4345.33,Transaction 3849,Counterparty 3849
2023-07-07,"Property, plant and equipment",185.63,Transaction 3850,Counterparty 3850
2024-04-27,Liabilities related to assets held for sale,774.9,Transaction 3851,Counterparty 3851
2023-06-28,R&D expenses:R&D team salary,-1703.74,Transaction 3852,Counterparty 3852
2024-01-18,Marketing and sales:Refferal program,-275.88,Transaction 3853,Counterparty 3853
2023-11-01,Project's direct cost,3987.6,Transaction 3854,Counterparty 3854
2023-01-25,"Property, plant and equipment",1066.17,Transaction 3855,Counterparty 3855
2023-11-29,Long-term debt,3751.78,Transaction 3856,Counterparty 3856
2023-06-04,Office expenses:Other office expenses,2732.27,Transaction 3857,Counterparty 3857
2024-06-06,Stripe,-1068.88,Transaction 3858,Counterparty 3858
2023-03-01,Staff expenses:Recruitment expenses,-2228.74,Transaction 3859,Counterparty 3859
2023-02-19,Share capital,483.99,Transaction 3860,Counterparty 3860
2023-03-27,G&A expenses:Salary G&A,-3566.07,Transaction 3861,Counterparty 3861
2023-12-29,Prepaid expenses administrative,842.78,Transaction 3862,Counterparty 3862
2024-03-04,Dividends payable,-2994.33,Transaction 3863,Counterparty 3863
2023-04-08,Staff expenses:Recruitment expenses,2869.56,Transaction 3864,Counterparty 3864
2023-09-30,Professional services:Contractors,821.71,Transaction 3865,Counterparty 3865
2024-02-23,Accrued liabilities,-3696.94,Transaction 3866,Counterparty 3866
2023-11-06,Marketing and sales:Sales team salary,2445.92,Transaction 3867,Counterparty 3867
2024-01-02,WISE USD,3880.54,Transaction 3868,Counterparty 3868
2024-05-30,Current portion of long-term debt,4137.77,Transaction 3869,Counterparty 3869
2023-03-25,Office expenses:Rent,105.43,Transaction 3870,Counterparty 3870
2024-05-12,Marketing and sales:Refferal program,-2643.3,Transaction 3871,Counterparty 3871
2023-07-26,Marketing and sales:Advertising,1816.18,Transaction 3872,Counterparty 3872
2023-07-23,Staff expenses:Other staff expenses,1663.1,Transaction 3873,Counterparty 3873
2023-02-28,Staff expenses:Corporate events,-2210.65,Transaction 3874,Counterparty 3874
2023-03-29,Less:Refferal discount,1410.7,Transaction 3875,Counterparty 3875
2023-07-08,Other Expenses,680.64,Transaction 3876,Counterparty 3876
2023-12-19,Taxes,-326.28,Transaction 3877,Counterparty 3877
2024-01-31,Marketing and sales:Design,3673.69,Transaction 3878,Counterparty 3878
2024-05-08,Marketing and sales:M&S team salary tax expenses,4699.49,Transaction 3879,Counterparty 3879
2024-02-15,Uncategorised Expense,-4954.44,Transaction 3880,Counterparty 3880
2024-06-18,Mercury Savings *6214,4068.64,Transaction 3881,Counterparty 3881
2023-11-19,Accounts Payable (A/P),47.78,Transaction 3882,Counterparty 3882
2023-10-04,Staff expenses:Corporate events,-3111.04,Transaction 3883,Counterparty 3883
2023-02-16,Bookkeeping (reporting),245.03,Transaction 3884,Counterparty 3884
2023-11-04,Marketing and sales:Sales bonus,4905.32,Transaction 3885,Counterparty 3885
2023-06-17,Goodwill,3649.32,Transaction 3886,Counterparty 3886
2023-07-14,R&D expenses,-3130.98,Transaction 3887,Counterparty 3887
2023-06-12,Mercury Savings *6214,3769.15,Transaction 3888,Counterparty 3888
2023-01-23,Dividends payable,3719.18,Transaction 3889,Counterparty 3889
2024-05-08,Purchase & Sales of property and equipment,-364.74,Transaction 3890,Counterparty 3890
2023-10-31,Mercury Checking *8932,-2375.92,Transaction 3891,Counterparty 3891
2023-11-11,Marketing and sales:Sales bonus,-2630.63,Transaction 3892,Counterparty 3892
2023-07-08,Work in process,201.06,Transaction 3893,Counterparty 3893
2023-07-14,Marketing and sales:Design,3892.57,Transaction 3894,Counterparty 3894
2024-06-01,Marketing and sales:M&S team salary tax expenses,-81.2,Transaction 3895,Counterparty 3895
2023-07-10,Stripe fees,-81.17,Transaction 3896,Counterparty 3896
2024-06-12,Marketing and sales:PR,380.58,Transaction 3897,Counterparty 3897
2023-06-06,Taxes,-4756.7,Transaction 3898,Counterparty 3898
2023-12-22,Other Expenses,2281.47,Transaction 3899,Counterparty 3899
2023-03-15,Stripe Other fees,649.59,Transaction 3900,Counterparty 3900
2023-02-09,R&D expenses:R&D team salary,2726.58,Transaction 3901,Counterparty 3901
2024-06-13,Long-Term Investments,920.6,Transaction 3902,Counterparty 3902
2023-02-26,Mercury Savings *6214,-2814.57,Transaction 3903,Counterparty 3903
2023-08-01,Direct labour:Bonuses,1542.91,Transaction 3904,Counterparty 3904
2023-03-03,Marketing and sales,-1552.8,Transaction 3905,Counterparty 3905
2024-01-16,Retained Earnings,-3686.51,Transaction 3906,Counterparty 3906
2024-05-04,Office expenses:Other office expenses,-217.1,Transaction 3907,Counterparty 3907
2024-01-28,Professional services:Contractors,-708.6,Transaction 3908,Counterparty 3908
2023-12-16,Retained Earnings,4075.86,Transaction 3909,Counterparty 3909
2023-12-01,Principal repayment of lease obligations,1610.1,Transaction 3910,Counterparty 3910
2023-03-28,Inventory,2299.3,Transaction 3911,Counterparty 3911
2023-04-10,Income tax payable,-2043.43,Transaction 3912,Counterparty 3912
2023-06-08,Prepaid Income,-4945.56,Transaction 3913,Counterparty 3913
2023-04-26,"Property, Plant And Equipment Accumulated Depreciation",4224.15,Transaction 3914,Counterparty 3914
2023-06-12,Intangible assets,-3173.35,Transaction 3915,Counterparty 3915
2023-02-20,Inventory,1751.57,Transaction 3916,Counterparty 3916
2023-11-28,Stripe expenses,-2777.93,Transaction 3917,Counterparty 3917
2024-03-29,Marketing and sales:Sales software & other services,556.13,Transaction 3918,Counterparty 3918
2023-10-02,WISE EUR,-715.43,Transaction 3919,Counterparty 3919
2023-07-10,Interest Expenses,-3439.61,Transaction 3920,Counterparty 3920
2023-03-01,Marketing and sales:M&S team salary tax expenses,-3628.16,Transaction 3921,Counterparty 3921
2023-05-21,Sales,-1676.17,Transaction 3922,Counterparty 3922
2024-05-17,Short-Term Investments,3713.53,Transaction 3923,Counterparty 3923
2024-04-12,Taxes,1904.42,Transaction 3924,Counterparty 3924
2023-06-22,Intangible Assets Accumulated Amortization,-1240.03,Transaction 3925,Counterparty 3925
2023-07-13,Sales,4746.69,Transaction 3926,Counterparty 3926
2024-04-04,"Marketing and sales:Content creation (newsletters, blog, social media)",-729.11,Transaction 3927,Counterparty 3927
2023-05-16,Other Expenses,-1376.93,Transaction 3928,Counterparty 3928
2023-09-25,Intangible assets,2273.38,Transaction 3929,Counterparty 3929
2023-10-01,"Marketing and sales:Content creation (newsletters, blog, social media)",4778.83,Transaction 3930,Counterparty 3930
2023-12-08,Current portion of long-term debt,715.7,Transaction 3931,Counterparty 3931
2024-02-19,Current portion of long-term debt,1855.14,Transaction 3932,Counterparty 3932
2023-01-03,Purchase & Sales of intangible assets,-811.47,Transaction 3933,Counterparty 3933
2024-04-24,G&A expenses,-1794.51,Transaction 3934,Counterparty 3934
2024-03-12,Marketing and sales:Sales software & other services,4370.28,Transaction 3935,Counterparty 3935
2024-01-09,Professional services:Legal consultancy,-4502.58,Transaction 3936,Counterparty 3936
2024-01-14,Mercury Checking *8932,3268.47,Transaction 3937,Counterparty 3937
2023-10-30,CHASE CHE *8731,-4457.91,Transaction 3938,Counterparty 3938
2024-04-07,Financial Modeling,1369.39,Transaction 3939,Counterparty 3939
2023-09-27,"Property, Plant And Equipment Accumulated Depreciation",617.06,Transaction 3940,Counterparty 3940
2023-10-29,Stripe expenses,3660.05,Transaction 3941,Counterparty 3941
2024-03-06,Bookkeeping subscription,770.77,Transaction 3942,Counterparty 3942
2024-06-08,Growth subscription,-3211.55,Transaction 3943,Counterparty 3943
2024-04-27,Professional services,-506.72,Transaction 3944,Counterparty 3944
2023-11-09,Taxes:State Taxes,1266.18,Transaction 3945,Counterparty 3945
2023-05-21,Marketing and sales:Sales team salary,2115.96,Transaction 3946,Counterparty 3946
2023-08-29,Marketing and sales:Refferal program,3614.93,Transaction 3947,Counterparty 3947
2023-03-15,Amortisation / Depreciation:Amortisation,3668.52,Transaction 3948,Counterparty 3948
2024-04-30,CHASE CHE *8731,-4932.33,Transaction 3949,Counterparty 3949
2023-12-23,Uncategorised Expense,-2784.6,Transaction 3950,Counterparty 3950
2024-05-10,Work in process,-1679.4,Transaction 3951,Counterparty 3951
2023-01-27,Marketing and sales:Website improvements,-3492.95,Transaction 3952,Counterparty 3952
2024-05-17,Growth subscription,-3880.38,Transaction 3953,Counterparty 3953
2023-04-14,Receiving & Repayment of loans,-652.28,Transaction 3954,Counterparty 3954
2024-03-05,Office expenses:Facilities,-604.92,Transaction 3955,Counterparty 3955
2024-06-11,Accounts Receivable (A/R) - EUR,2031.87,Transaction 3956,Counterparty 3956
2024-03-25,Professional services:Legal consultancy,3592.18,Transaction 3957,Counterparty 3957
2023-02-03,Other Expenses:Other general and administrative expenses,1935.0,Transaction 3958,Counterparty 3958
2024-03-14,Share capital,2996.96,Transaction 3959,Counterparty 3959
2023-12-26,Proceeds from debt,-4095.53,Transaction 3960,Counterparty 3960
2024-01-24,Staff expenses:Corporate events,3321.07,Transaction 3961,Counterparty 3961
2023-09-28,Receiving & Repayment of loans,-856.25,Transaction 3962,Counterparty 3962
2023-07-13,Receiving & Repayment of loans,-695.37,Transaction 3963,Counterparty 3963
2023-06-18,Intangible Assets Accumulated Amortization,2937.33,Transaction 3964,Counterparty 3964
2023-08-29,Retained Earnings,-1218.31,Transaction 3965,Counterparty 3965
2023-03-29,Project's direct cost:Subcontractors,-1363.42,Transaction 3966,Counterparty 3966
2024-03-25,Intangible Assets Accumulated Amortization,3093.25,Transaction 3967,Counterparty 3967
2023-06-05,Interest Income,1001.98,Transaction 3968,Counterparty 3968
2023-12-14,Dividend disbursed,1924.07,Transaction 3969,Counterparty 3969
2023-08-27,Loans to Others,-4151.53,Transaction 3970,Counterparty 3970
2023-06-22,Professional services:Bookkeeping,3729.84,Transaction 3971,Counterparty 3971
2023-06-22,Proceeds from debt,-574.12,Transaction 3972,Counterparty 3972
2024-06-06,Accrued holiday payable,-4568.12,Transaction 3973,Counterparty 3973
2023-05-06,Amortisation / Depreciation:Depreciation,-3295.14,Transaction 3974,Counterparty 3974
2023-06-10,Proceeds from debt,1134.28,Transaction 3975,Counterparty 3975
2023-08-26,Office expenses:Other office expenses,-2203.54,Transaction 3976,Counterparty 3976
2023-07-12,Project's direct cost:Software expenses,3615.87,Transaction 3977,Counterparty 3977
2023-10-15,Marketing and sales:Marketing team salary,3017.67,Transaction 3978,Counterparty 3978
2024-03-22,Essential subscription,3481.81,Transaction 3979,Counterparty 3979
2024-02-12,Retained Earnings,521.95,Transaction 3980,Counterparty 3980
2023-07-14,CHASE CHE *8731,3401.49,Transaction 3981,Counterparty 3981
2023-03-16,Available for sale assets (short-term),2234.28,Transaction 3982,Counterparty 3982
2024-05-14,Stripe Other fees,-2938.61,Transaction 3983,Counterparty 3983
2023-11-17,Amortisation / Depreciation:Depreciation,1452.59,Transaction 3984,Counterparty 3984
2024-05-15,Less,3174.54,Transaction 3985,Counterparty 3985
2023-07-01,Marketing and sales:M&S team salary tax expenses,3404.43,Transaction 3986,Counterparty 3986
2024-06-15,Accrued non-current liabilities,3525.7,Transaction 3987,Counterparty 3987
2023-07-23,Exchange Loss,-3175.46,Transaction 3988,Counterparty 3988
2023-12-11,Staff expenses:Recruitment software,1334.76,Transaction 3989,Counterparty 3989
2024-01-19,Prepaid expenses administrative,827.28,Transaction 3990,Counterparty 3990
2023-02-05,Marketing and sales:Design,-2065.73,Transaction 3991,Counterparty 3991
2023-12-13,Marketing and sales:Refferal program,-2500.86,Transaction 3992,Counterparty 3992
2023-09-22,Interest Income,-4913.82,Transaction 3993,Counterparty 3993
2023-06-02,Prepaid expenses for projects,-3001.79,Transaction 3994,Counterparty 3994
2023-08-30,Staff expenses:Recruitment expenses,3155.67,Transaction 3995,Counterparty 3995
2023-10-29,Office expenses,3991.78,Transaction 3996,Counterparty 3996
2023-09-05,Accrued holiday payable,-702.52,Transaction 3997,Counterparty 3997
2023-08-08,Current portion of long-term debt,-4240.73,Transaction 3998,Counterparty 3998
2023-09-27,Dividends payable,3813.79,Transaction 3999,Counterparty 3999
2023-11-23,Bookkeeping (reporting),-4216.81,Transaction 4000,Counterparty 4000
2024-01-23,Staff expenses:Recruitment software,792.03,Transaction 4001,Counterparty 4001
2023-12-07,Uncategorised Asset,-3928.24,Transaction 4002,Counterparty 4002
2024-03-23,CHASE SAV *2868,-958.55,Transaction 4003,Counterparty 4003
2023-01-04,Staff expenses:Education,-1573.62,Transaction 4004,Counterparty 4004
2023-09-22,Marketing and sales,2278.97,Transaction 4005,Counterparty 4005
2024-03-23,Stripe sales,2618.36,Transaction 4006,Counterparty 4006
2024-04-12,Direct labour:Labour tax,3972.78,Transaction 4007,Counterparty 4007
2024-05-02,Other comprehensive income,1360.58,Transaction 4008,Counterparty 4008
2023-05-09,Staff expenses:Other staff expenses,3923.42,Transaction 4009,Counterparty 4009
2024-02-03,Other Expenses:Comissions and fees,2560.76,Transaction 4010,Counterparty 4010
2023-06-25,Amortisation / Depreciation:Depreciation,4975.71,Transaction 4011,Counterparty 4011
2023-07-12,Taxes:Federal Taxes,-3198.0,Transaction 4012,Counterparty 4012
2023-06-09,Dividends payable,1129.98,Transaction 4013,Counterparty 4013
2024-03-03,Professional services:Bookkeeping,1602.22,Transaction 4014,Counterparty 4014
2024-04-30,"Property, Plant And Equipment Accumulated Depreciation",-1906.64,Transaction 4015,Counterparty 4015
2023-07-28,Professional services:Contractors,797.02,Transaction 4016,Counterparty 4016
2023-09-05,CHASE CHE *8731,-1377.12,Transaction 4017,Counterparty 4017
2024-06-13,Uncategorised Asset,1601.82,Transaction 4018,Counterparty 4018
2023-02-14,Other Expenses:Other general and administrative expenses,-3355.41,Transaction 4019,Counterparty 4019
2023-04-04,Marketing and sales:Design,-3507.81,Transaction 4020,Counterparty 4020
2023-01-08,Staff expenses,-1512.53,Transaction 4021,Counterparty 4021
2023-04-10,Staff expenses:Operational software,-3056.99,Transaction 4022,Counterparty 4022
2023-01-30,Growth subscription,215.38,Transaction 4023,Counterparty 4023
2023-01-02,Exchange Loss,1246.9,Transaction 4024,Counterparty 4024
2023-05-04,Mercury Savings *6214,-1086.31,Transaction 4025,Counterparty 4025
2023-08-10,Project's direct cost:Subcontractors,-825.73,Transaction 4026,Counterparty 4026
2023-03-25,Marketing and sales:Design,2078.32,Transaction 4027,Counterparty 4027
2023-04-19,Long-Term Investments,-1825.46,Transaction 4028,Counterparty 4028
2023-03-15,Marketing and sales:Other marketing expenses,4288.35,Transaction 4029,Counterparty 4029
2023-05-20,WISE EUR,-1087.09,Transaction 4030,Counterparty 4030
2023-08-10,Uncategorised Expense,4504.79,Transaction 4031,Counterparty 4031
2023-02-05,"Property, Plant And Equipment Accumulated Depreciation",-4492.17,Transaction 4032,Counterparty 4032
2024-02-21,Interest Income,-257.75,Transaction 4033,Counterparty 4033
2023-02-20,"Property, Plant And Equipment Accumulated Depreciation",-2639.38,Transaction 4034,Counterparty 4034
2023-12-30,Other Expenses:Other general and administrative expenses,-963.17,Transaction 4035,Counterparty 4035
2023-07-09,Short-term debit,883.17,Transaction 4036,Counterparty 4036
2023-04-15,Bookkeeping subscription,-2671.29,Transaction 4037,Counterparty 4037
2023-12-25,Uncategorised Expense,2007.78,Transaction 4038,Counterparty 4038
2024-05-13,Professional services:Legal consultancy,-2663.33,Transaction 4039,Counterparty 4039
2023-01-02,Marketing and sales:Advertising,-4446.56,Transaction 4040,Counterparty 4040
2023-10-01,Goodwill,-3176.72,Transaction 4041,Counterparty 4041
2023-03-05,Professional services:Financial consultancy,-3790.67,Transaction 4042,Counterparty 4042
2023-03-30,Exchange Gain,-227.0,Transaction 4043,Counterparty 4043
2023-07-03,Office expenses:Other office expenses,-4490.4,Transaction 4044,Counterparty 4044
2024-04-10,Income,-4955.79,Transaction 4045,Counterparty 4045
2023-02-11,Project's direct cost:Subcontractors,-3166.16,Transaction 4046,Counterparty 4046
2023-07-31,Other comprehensive income,2347.82,Transaction 4047,Counterparty 4047
2024-02-23,Short-Term Investments,2536.53,Transaction 4048,Counterparty 4048
2023-10-28,Work in process,3094.75,Transaction 4049,Counterparty 4049
2023-09-25,Amortisation / Depreciation:Amortisation,-3311.92,Transaction 4050,Counterparty 4050
2023-09-27,Travelling expenses,4653.96,Transaction 4051,Counterparty 4051
2023-04-04,Mercury Savings *6214,1481.06,Transaction 4052,Counterparty 4052
2024-04-01,Liabilities related to assets held for sale,4696.27,Transaction 4053,Counterparty 4053
2023-02-16,Accounts Receivable (A/R) - EUR,-2757.52,Transaction 4054,Counterparty 4054
2024-01-06,Dividends payable,-4893.3,Transaction 4055,Counterparty 4055
2023-06-19,Accounts Payable (A/P),4418.5,Transaction 4056,Counterparty 4056
2024-05-05,WISE USD,-3415.36,Transaction 4057,Counterparty 4057
2023-07-02,WISE USD,4795.56,Transaction 4058,Counterparty 4058
2023-07-08,Marketing and sales:Marketing software & other services,-3350.76,Transaction 4059,Counterparty 4059
2023-11-27,Less:Discount,4601.77,Transaction 4060,Counterparty 4060
2023-06-02,Other Expenses,-3215.5,Transaction 4061,Counterparty 4061
2024-02-20,Payroll Clearing,4336.22,Transaction 4062,Counterparty 4062
2024-01-20,Staff expenses:Recruitment software,4812.06,Transaction 4063,Counterparty 4063
2024-01-14,Stripe fees,4971.77,Transaction 4064,Counterparty 4064
2023-12-25,Other comprehensive income,883.14,Transaction 4065,Counterparty 4065
2023-02-20,Intangible assets,1364.34,Transaction 4066,Counterparty 4066
2023-12-04,Goodwill,-4441.88,Transaction 4067,Counterparty 4067
2024-03-25,Other comprehensive income,3320.13,Transaction 4068,Counterparty 4068
2023-07-02,Project's direct cost,-80.81,Transaction 4069,Counterparty 4069
2024-04-11,Exchange Gain,-565.64,Transaction 4070,Counterparty 4070
2023-05-24,Taxes:Federal Taxes,-4865.23,Transaction 4071,Counterparty 4071
2024-02-10,Project's direct cost:Subcontractors,2104.13,Transaction 4072,Counterparty 4072
2024-04-10,Office expenses,2830.19,Transaction 4073,Counterparty 4073
2024-06-17,R&D expenses:R&D software & other services,346.75,Transaction 4074,Counterparty 4074
2023-05-15,Accounts Payable (A/P),-4594.12,Transaction 4075,Counterparty 4075
2023-06-13,Essential subscription,327.28,Transaction 4076,Counterparty 4076
2023-08-23,Dividend disbursed,-3690.84,Transaction 4077,Counterparty 4077
2023-03-17,Proceeds from debt,2655.17,Transaction 4078,Counterparty 4078
2023-03-11,Growth subscription,-1884.4,Transaction 4079,Counterparty 4079
2024-01-31,Accounts Receivable (A/R),2566.42,Transaction 4080,Counterparty 4080
